pair,dir,entry,sl,tp,outcome,pnl_r,time
BTCUSDT,LONG,89915.22,89786.14392857143,90108.83410714286,WIN,1.5,2026-01-02 19:13:00
BTCUSDT,LONG,91295.04,91222.81285714285,91403.38071428571,LOSS,-1.0,2026-01-04 00:47:00
BTCUSDT,LONG,93700.77,93521.42357142858,93969.78964285715,WIN,1.5,2026-01-05 15:32:00
BTCUSDT,LONG,94025.46,93837.07607142857,94308.03589285715,WIN,1.5,2026-01-06 15:17:00
BTCUSDT,SHORT,92547.43,92664.07428571428,92372.46357142855,LOSS,-1.0,2026-01-06 17:16:00
BTCUSDT,SHORT,91405.0,91539.25642857143,91203.61535714286,WIN,1.5,2026-01-07 16:33:00
BTCUSDT,SHORT,90515.3,90608.71571428572,90375.17642857143,WIN,1.5,2026-01-08 08:34:00
BTCUSDT,SHORT,90369.01,90516.38071428571,90147.95392857141,LOSS,-1.0,2026-01-08 15:48:00
BTCUSDT,LONG,91367.75,91236.45285714285,91564.69571428571,LOSS,-1.0,2026-01-09 01:30:00
BTCUSDT,SHORT,90310.27,90416.2075,90151.36375,WIN,1.5,2026-01-09 14:33:00
BTCUSDT,LONG,93539.64,93397.0157142857,93753.57642857142,WIN,1.5,2026-01-13 16:34:00
BTCUSDT,LONG,95400.01,95292.97535714284,95560.56196428572,WIN,1.5,2026-01-14 01:07:00
BTCUSDT,LONG,95835.88,95624.86214285715,96152.4067857143,WIN,1.5,2026-01-14 14:38:00
BTCUSDT,LONG,97682.98,97548.74392857142,97884.33410714284,LOSS,-1.0,2026-01-14 20:38:00
BTCUSDT,LONG,96581.64,96521.24785714285,96672.22821428571,LOSS,-1.0,2026-01-15 02:07:00
BTCUSDT,SHORT,92550.32,92630.30857142858,92430.33714285714,LOSS,-1.0,2026-01-20 01:11:00
BTCUSDT,SHORT,90488.0,90817.73214285714,89993.40178571429,WIN,1.5,2026-01-20 14:47:00
BTCUSDT,SHORT,88914.44,89066.58714285714,88686.2192857143,WIN,1.5,2026-01-22 16:08:00
BTCUSDT,SHORT,88817.24,89000.91928571429,88541.72107142858,LOSS,-1.0,2026-01-22 16:35:00
BTCUSDT,SHORT,87740.41,87819.94321428571,87621.11017857143,WIN,1.5,2026-01-25 18:12:00
BTCUSDT,LONG,89448.01,89296.07392857142,89675.91410714286,WIN,1.5,2026-01-28 19:52:00
BTCUSDT,LONG,89314.53,89252.2425,89407.96125000001,WIN,1.5,2026-01-28 21:39:00
BTCUSDT,SHORT,87979.92,88078.97678571429,87831.33482142857,LOSS,-1.0,2026-01-29 03:31:00
BTCUSDT,SHORT,82341.01,82444.36964285714,82185.97053571428,WIN,1.5,2026-01-30 09:45:00
BTCUSDT,SHORT,82904.65,83057.78928571427,82674.94107142856,WIN,1.5,2026-01-30 18:09:00
BTCUSDT,SHORT,78760.74,78967.71107142858,78450.28339285715,WIN,1.5,2026-01-31 18:07:00
BTCUSDT,SHORT,78337.55,78404.43178571429,78237.22732142858,LOSS,-1.0,2026-02-01 11:17:00
BTCUSDT,SHORT,78440.0,78534.98428571428,78297.52357142858,LOSS,-1.0,2026-02-01 12:45:00
BTCUSDT,SHORT,78466.72,78535.70928571429,78363.23607142858,WIN,1.5,2026-02-01 13:50:00
BTCUSDT,SHORT,77147.97,77339.90357142857,76860.06964285715,LOSS,-1.0,2026-02-01 16:04:00
BTCUSDT,SHORT,77990.7,78096.13071428571,77832.55392857142,WIN,1.5,2026-02-01 18:44:00
BTCUSDT,SHORT,77495.28,77672.79107142857,77229.01339285714,WIN,1.5,2026-02-02 01:07:00
BTCUSDT,LONG,78246.01,78097.26035714285,78469.13446428571,WIN,1.5,2026-02-02 21:05:00
BTCUSDT,SHORT,78117.09,78277.22357142856,77876.88964285715,LOSS,-1.0,2026-02-03 14:34:00
BTCUSDT,SHORT,77216.29,77464.8882142857,76843.39267857141,LOSS,-1.0,2026-02-03 15:25:00
BTCUSDT,SHORT,76022.03,76109.27642857142,75891.16035714286,LOSS,-1.0,2026-02-04 12:27:00
BTCUSDT,SHORT,74165.1,74519.01321428572,73634.23017857144,LOSS,-1.0,2026-02-04 15:34:00
BTCUSDT,SHORT,72950.0,73067.50464285714,72773.74303571429,LOSS,-1.0,2026-02-05 00:52:00
BTCUSDT,SHORT,70513.57,70684.7575,70256.78875,LOSS,-1.0,2026-02-05 06:19:00
BTCUSDT,SHORT,65983.51,66264.28214285713,65562.35178571429,WIN,1.5,2026-02-05 19:24:00
BTCUSDT,SHORT,62896.59,63299.54142857142,62292.16285714286,LOSS,-1.0,2026-02-05 22:17:00
BTCUSDT,SHORT,64855.46,65108.536785714285,64475.844821428575,WIN,1.5,2026-02-06 03:08:00
BTCUSDT,SHORT,65702.91,65856.19392857143,65472.98410714286,LOSS,-1.0,2026-02-06 10:11:00
BTCUSDT,SHORT,65855.49,65971.69821428572,65681.17767857143,LOSS,-1.0,2026-02-06 10:51:00
BTCUSDT,SHORT,66161.92,66287.59857142856,65973.40214285714,LOSS,-1.0,2026-02-06 12:32:00
BTCUSDT,LONG,68291.99,68040.54178571429,68669.16232142858,WIN,1.5,2026-02-07 08:12:00
BTCUSDT,LONG,70751.8,70640.79464285714,70918.30803571429,LOSS,-1.0,2026-02-08 17:35:00
BTCUSDT,LONG,70963.04,70875.9232142857,71093.71517857142,LOSS,-1.0,2026-02-08 22:43:00
BTCUSDT,SHORT,69023.48,69096.63714285713,68913.74428571429,LOSS,-1.0,2026-02-09 13:02:00
BTCUSDT,SHORT,69978.19,70130.59642857143,69749.58035714286,LOSS,-1.0,2026-02-09 17:23:00
BTCUSDT,SHORT,69385.99,69508.74250000001,69201.86125,WIN,1.5,2026-02-10 05:42:00
BTCUSDT,SHORT,68834.74,68924.30714285714,68700.3892857143,LOSS,-1.0,2026-02-10 08:13:00
BTCUSDT,SHORT,68534.39,68627.86464285715,68394.17803571429,WIN,1.5,2026-02-10 13:00:00
BTCUSDT,SHORT,68289.38,68385.47000000002,68145.245,WIN,1.5,2026-02-11 03:53:00
BTCUSDT,SHORT,66317.97,66551.18678571428,65968.14482142858,LOSS,-1.0,2026-02-11 15:51:00
BTCUSDT,SHORT,67460.8,67562.07678571428,67308.88482142858,WIN,1.5,2026-02-11 22:53:00
BTCUSDT,LONG,67170.0,67104.78321428571,67267.82517857144,LOSS,-1.0,2026-02-13 12:53:00
BTCUSDT,LONG,67743.67,67399.08357142858,68260.54964285714,WIN,1.5,2026-02-13 14:46:00
BTCUSDT,LONG,69178.32,69060.37714285715,69355.23428571428,WIN,1.5,2026-02-13 18:36:00
BTCUSDT,SHORT,68899.5,69017.58214285715,68722.37678571428,LOSS,-1.0,2026-02-15 16:23:00
BTCUSDT,SHORT,68495.84,68690.70714285714,68203.53928571427,WIN,1.5,2026-02-15 18:46:00
BTCUSDT,SHORT,68550.45,68617.64142857143,68449.66285714286,WIN,1.5,2026-02-16 02:11:00
BTCUSDT,SHORT,67755.84,67838.35392857142,67632.06910714286,WIN,1.5,2026-02-16 17:10:00
BTCUSDT,SHORT,67750.79,67855.1707142857,67594.21892857141,LOSS,-1.0,2026-02-17 19:52:00
BTCUSDT,SHORT,67644.0,67720.82035714286,67528.76946428572,WIN,1.5,2026-02-17 21:22:00
BTCUSDT,SHORT,67447.8,67508.79107142857,67356.31339285715,LOSS,-1.0,2026-02-18 13:21:00
BTCUSDT,SHORT,66828.5,67062.96821428572,66476.79767857143,LOSS,-1.0,2026-02-18 14:48:00
BTCUSDT,SHORT,66756.81,66819.57214285714,66662.66678571429,WIN,1.5,2026-02-19 02:36:00
BTCUSDT,SHORT,66185.72,66300.08642857143,66014.17035714285,WIN,1.5,2026-02-19 16:02:00
BTCUSDT,SHORT,66882.88,67008.35285714286,66694.67071428572,LOSS,-1.0,2026-02-19 19:15:00
BTCUSDT,LONG,67850.89,67785.53607142858,67948.92089285715,WIN,1.5,2026-02-20 22:22:00
BTCUSDT,SHORT,65816.0,65968.01214285714,65587.98178571429,WIN,1.5,2026-02-23 15:26:00
BTCUSDT,SHORT,64817.99,64932.50214285714,64646.22178571428,WIN,1.5,2026-02-23 18:48:00
BTCUSDT,SHORT,64600.76,64703.29785714286,64446.95321428571,WIN,1.5,2026-02-23 19:16:00
BTCUSDT,SHORT,64203.67,64298.18714285714,64061.89428571428,WIN,1.5,2026-02-23 20:07:00
BTCUSDT,SHORT,64773.44,64808.195,64721.3075,WIN,1.5,2026-02-23 23:38:00
BTCUSDT,SHORT,64093.26,64228.29214285714,63890.71178571429,LOSS,-1.0,2026-02-24 02:18:00
BTCUSDT,SHORT,63052.65,63135.62464285715,62928.18803571429,LOSS,-1.0,2026-02-24 08:02:00
BTCUSDT,LONG,65499.72,65424.2325,65612.95125,WIN,1.5,2026-02-25 12:10:00
BTCUSDT,LONG,66159.19,66077.64035714285,66281.51446428572,WIN,1.5,2026-02-25 13:25:00
BTCUSDT,LONG,67501.44,67365.6567857143,67705.11482142856,WIN,1.5,2026-02-25 16:00:00
BTCUSDT,LONG,68242.98,68175.66964285714,68343.94553571429,LOSS,-1.0,2026-02-26 03:33:00
BTCUSDT,LONG,68143.68,68058.71999999999,68271.12,LOSS,-1.0,2026-02-26 13:30:00
BTCUSDT,SHORT,66783.18,66896.80607142857,66612.74089285714,LOSS,-1.0,2026-02-26 17:23:00
BTCUSDT,SHORT,66851.08,66949.65250000001,66703.22125,WIN,1.5,2026-02-26 17:38:00
BTCUSDT,SHORT,67336.25,67419.25892857143,67211.73660714286,WIN,1.5,2026-02-27 00:11:00
BTCUSDT,SHORT,65973.78,66082.24285714286,65811.08571428571,LOSS,-1.0,2026-02-27 12:11:00
BTCUSDT,SHORT,65854.48,66057.16857142857,65550.44714285714,LOSS,-1.0,2026-02-27 14:42:00
BTCUSDT,SHORT,64011.99,64100.90678571428,63878.61482142857,WIN,1.5,2026-02-28 11:40:00
BTCUSDT,LONG,66857.21,66718.19857142858,67065.72714285715,WIN,1.5,2026-02-28 22:04:00
BTCUSDT,LONG,67013.07,66955.2375,67099.81875,LOSS,-1.0,2026-03-01 07:12:00
BTCUSDT,LONG,67169.58,67107.1875,67263.16875,LOSS,-1.0,2026-03-01 07:35:00
BTCUSDT,SHORT,65815.35,65931.49285714286,65641.13571428572,LOSS,-1.0,2026-03-02 13:29:00
BTCUSDT,LONG,69320.84,69041.26142857142,69740.20785714286,WIN,1.5,2026-03-02 16:05:00
BTCUSDT,LONG,69147.5,69037.67535714286,69312.23696428572,LOSS,-1.0,2026-03-02 18:27:00
BTCUSDT,LONG,67949.99,67851.57071428573,68097.61892857144,WIN,1.5,2026-03-04 05:39:00
BTCUSDT,LONG,73477.98,73358.55214285714,73657.12178571429,WIN,1.5,2026-03-04 18:42:00
BTCUSDT,LONG,72592.36,72502.16607142857,72727.65089285714,LOSS,-1.0,2026-03-05 07:11:00
BTCUSDT,LONG,72000.01,71899.68892857143,72150.49160714285,LOSS,-1.0,2026-03-05 08:23:00
BTCUSDT,LONG,72611.86,72478.15321428572,72812.42017857142,LOSS,-1.0,2026-03-05 14:30:00
BTCUSDT,LONG,72705.17,72501.09285714285,73011.28571428571,LOSS,-1.0,2026-03-05 14:34:00
BTCUSDT,LONG,71706.18,71550.46071428571,71939.75892857142,LOSS,-1.0,2026-03-05 15:53:00
BTCUSDT,SHORT,70523.08,70618.64928571429,70379.72607142858,LOSS,-1.0,2026-03-06 07:12:00
BTCUSDT,SHORT,68463.89,68596.40642857143,68265.11535714286,LOSS,-1.0,2026-03-06 16:55:00
BTCUSDT,SHORT,68172.38,68291.60964285715,67993.5355357143,LOSS,-1.0,2026-03-06 19:25:00
BTCUSDT,LONG,67860.83,67757.20035714286,68016.27446428571,WIN,1.5,2026-03-09 09:16:00
BTCUSDT,LONG,67742.29,67667.69607142857,67854.18089285714,LOSS,-1.0,2026-03-09 11:07:00
BTCUSDT,LONG,68685.23,68557.72785714285,68876.4832142857,WIN,1.5,2026-03-09 13:26:00
BTCUSDT,LONG,69236.42,69045.81928571429,69522.32107142858,LOSS,-1.0,2026-03-09 14:17:00
BTCUSDT,LONG,69024.23,68947.9925,69138.58625,LOSS,-1.0,2026-03-09 20:57:00
BTCUSDT,LONG,71329.89,71227.64678571429,71483.25482142858,LOSS,-1.0,2026-03-10 17:07:00
BTCUSDT,LONG,70203.21,70068.5967857143,70405.12982142858,LOSS,-1.0,2026-03-10 19:17:00
BTCUSDT,LONG,72666.46,72530.71321428572,72870.08017857144,WIN,1.5,2026-03-13 12:46:00
