pair,signal,conf,entry,sl,tp,outcome,pnl_r,time
BTCUSDT,LONG,100,55175.25,54620.2018,56840.3946,LOSS,-1.0,2021-04-28 12:00:00
BTCUSDT,LONG,100,54846.22,54275.8629,56557.2914,LOSS,-1.0,2021-04-28 23:00:00
BTCUSDT,LONG,100,54428.04,53828.4836,56226.7093,LOSS,-1.0,2021-04-29 10:00:00
BTCUSDT,SHORT,70,53329.2,54210.4368,50685.4896,LOSS,-1.0,2021-04-29 21:00:00
BTCUSDT,LONG,70,54526.61,53880.7132,56464.3004,WIN,3.0,2021-04-30 08:00:00
BTCUSDT,LONG,70,56757.34,55952.6061,59171.5418,LOSS,-1.0,2021-04-30 20:00:00
BTCUSDT,SHORT,70,57725.14,58698.7943,54804.1771,LOSS,-1.0,2021-05-01 07:00:00
BTCUSDT,LONG,70,57610.52,56732.9975,60243.0875,LOSS,-1.0,2021-05-01 18:00:00
BTCUSDT,LONG,70,56902.07,56040.1275,59487.8975,LOSS,-1.0,2021-05-02 05:00:00
BTCUSDT,LONG,100,56557.8,55734.535,59027.595,LOSS,-1.0,2021-05-02 16:00:00
BTCUSDT,SHORT,70,57925.8,58188.0254,57139.1239,LOSS,-1.0,2021-05-03 03:00:00
BTCUSDT,SHORT,70,57777.33,58529.2114,55521.6857,WIN,3.0,2021-05-03 14:00:00
BTCUSDT,LONG,70,55988.95,54834.9911,59450.8268,LOSS,-1.0,2021-05-04 05:00:00
BTCUSDT,SHORT,70,54552.15,55869.5061,50600.0818,LOSS,-1.0,2021-05-05 04:00:00
BTCUSDT,SHORT,70,57064.55,57841.8571,54732.6286,LOSS,-1.0,2021-05-05 22:00:00
BTCUSDT,SHORT,70,57261.57,57808.3304,55621.2889,LOSS,-1.0,2021-05-06 09:00:00
BTCUSDT,LONG,100,56393.68,55311.9064,59639.0007,LOSS,-1.0,2021-05-06 23:00:00
BTCUSDT,LONG,70,56400.57,55367.935,59498.475,LOSS,-1.0,2021-05-07 10:00:00
BTCUSDT,SHORT,100,57358.44,57841.9239,55907.9882,LOSS,-1.0,2021-05-07 21:00:00
BTCUSDT,LONG,100,57599.87,56405.4821,61183.0336,LOSS,-1.0,2021-05-08 15:00:00
BTCUSDT,LONG,100,57965.59,57167.2046,60360.7461,LOSS,-1.0,2021-05-09 07:00:00
BTCUSDT,LONG,70,57439.39,56430.2486,60466.8143,LOSS,-1.0,2021-05-09 18:00:00
BTCUSDT,LONG,100,59068.05,58343.515,61241.655,LOSS,-1.0,2021-05-10 05:00:00
BTCUSDT,LONG,100,57572.32,56734.8893,60084.6121,LOSS,-1.0,2021-05-10 16:00:00
BTCUSDT,LONG,70,55142.46,52842.6454,62041.9039,LOSS,-1.0,2021-05-11 03:00:00
BTCUSDT,LONG,70,55688.0,53016.2339,63703.2982,LOSS,-1.0,2021-05-11 14:00:00
BTCUSDT,LONG,70,57355.3,56632.6604,59523.2189,LOSS,-1.0,2021-05-12 04:00:00
BTCUSDT,LONG,70,50879.72,49509.4336,54990.5793,LOSS,-1.0,2021-05-13 07:00:00
BTCUSDT,LONG,70,50015.76,48270.5664,55251.3407,LOSS,-1.0,2021-05-14 01:00:00
BTCUSDT,LONG,70,50310.83,49919.4161,51485.0718,LOSS,-1.0,2021-05-14 12:00:00
BTCUSDT,LONG,100,49841.45,48534.2543,53763.0371,LOSS,-1.0,2021-05-14 23:00:00
BTCUSDT,LONG,70,48929.74,48446.1918,50380.3846,LOSS,-1.0,2021-05-15 11:00:00
BTCUSDT,LONG,70,47964.69,47291.29,49984.89,LOSS,-1.0,2021-05-15 22:00:00
BTCUSDT,SHORT,70,49264.69,50125.3489,46682.7132,WIN,3.0,2021-05-16 09:00:00
BTCUSDT,SHORT,100,45320.64,47219.3211,39624.5968,LOSS,-1.0,2021-05-17 08:00:00
BTCUSDT,SHORT,70,44757.64,45791.3461,41656.5218,LOSS,-1.0,2021-05-17 20:00:00
BTCUSDT,SHORT,100,45172.7,45742.7914,43462.4257,WIN,3.0,2021-05-18 07:00:00
BTCUSDT,SHORT,70,40371.44,41637.1096,36574.4311,WIN,3.0,2021-05-19 07:00:00
BTCUSDT,SHORT,70,39938.91,41886.3643,34096.5471,LOSS,-1.0,2021-05-20 05:00:00
BTCUSDT,LONG,100,39311.8,38287.37,42385.09,LOSS,-1.0,2021-05-20 16:00:00
BTCUSDT,LONG,70,40666.91,38976.2746,45738.8161,LOSS,-1.0,2021-05-21 03:00:00
BTCUSDT,SHORT,70,36588.77,38193.4532,31774.7204,LOSS,-1.0,2021-05-21 21:00:00
