pair,signal,entry,sl,tp,outcome,pnl_r
BTCUSDT,SHORT,35785.69,36036.1959,35034.1722,WIN,3.0
BTCUSDT,LONG,19187.66,19137.0516,19339.4851,WIN,3.0
BTCUSDT,LONG,26756.7,26611.0597,27193.6209,WIN,3.0
BTCUSDT,SHORT,30265.0,30365.057,29964.829,LOSS,-1.0
BTCUSDT,SHORT,30182.0,30386.4749,29568.5752,LOSS,-1.0
BTCUSDT,LONG,29391.81,29279.4871,29728.7786,LOSS,-1.0
BTCUSDT,SHORT,29033.13,29108.7639,28806.2282,LOSS,-1.0
BTCUSDT,SHORT,29030.51,29181.8109,28576.6074,LOSS,-1.0
BTCUSDT,SHORT,29418.56,29487.944,29210.408,WIN,3.0
BTCUSDT,SHORT,29332.66,29468.0103,28926.6091,WIN,3.0
BTCUSDT,SHORT,26012.98,26115.9117,25704.1849,LOSS,-1.0
BTCUSDT,SHORT,25713.63,25890.7948,25182.1356,LOSS,-1.0
BTCUSDT,LONG,26597.73,26468.9686,26984.0141,LOSS,-1.0
BTCUSDT,SHORT,26213.19,26304.3524,25939.7029,LOSS,-1.0
BTCUSDT,LONG,26992.38,26910.8556,27236.9533,WIN,3.0
BTCUSDT,SHORT,26706.83,26965.7204,25930.1589,LOSS,-1.0
BTCUSDT,SHORT,26838.14,26997.3539,26360.4984,LOSS,-1.0
BTCUSDT,LONG,34253.81,34082.2374,34768.5279,WIN,3.0
BTCUSDT,LONG,41859.53,41660.1031,42457.8106,LOSS,-1.0
BTCUSDT,LONG,41910.47,41710.0922,42511.6034,WIN,3.0
BTCUSDT,SHORT,64297.79,64393.2088,64011.5336,WIN,3.0
BTCUSDT,LONG,63215.13,63043.6857,63729.4629,LOSS,-1.0
BTCUSDT,LONG,62222.0,61962.2231,63001.3308,WIN,3.0
BTCUSDT,LONG,68394.0,68075.1783,69350.4651,WIN,3.0
BTCUSDT,SHORT,82697.99,83261.0256,81008.8831,WIN,3.0
BTCUSDT,LONG,94870.01,94519.1531,95922.5806,LOSS,-1.0
BTCUSDT,LONG,107449.28,107133.2884,108397.2549,WIN,3.0
BTCUSDT,LONG,109058.27,108581.8391,110487.5628,LOSS,-1.0
BTCUSDT,LONG,119933.0,118468.3216,124327.0353,LOSS,-1.0
BTCUSDT,SHORT,108507.68,108873.3102,107410.7894,LOSS,-1.0
BTCUSDT,SHORT,108836.0,109834.771,105839.687,LOSS,-1.0
BTCUSDT,SHORT,109369.02,109739.2039,108258.4684,LOSS,-1.0
BTCUSDT,SHORT,90427.76,90823.9554,89239.1737,LOSS,-1.0
BTCUSDT,SHORT,95028.27,95429.7756,93823.7533,LOSS,-1.0
BTCUSDT,SHORT,89275.77,89733.0159,87904.0322,WIN,3.0
ETHUSDT,LONG,1326.49,1317.7609,1352.6774,LOSS,-1.0
ETHUSDT,SHORT,1831.39,1837.3964,1813.3709,LOSS,-1.0
ETHUSDT,SHORT,1828.22,1836.1006,1804.5783,WIN,3.0
ETHUSDT,LONG,1863.89,1858.0874,1881.2979,LOSS,-1.0
ETHUSDT,SHORT,1845.8,1852.2174,1826.5479,LOSS,-1.0
ETHUSDT,LONG,1851.27,1848.1651,1860.5848,LOSS,-1.0
ETHUSDT,LONG,1850.8,1846.6462,1863.2614,LOSS,-1.0
ETHUSDT,SHORT,1842.44,1847.9257,1825.9829,WIN,3.0
ETHUSDT,SHORT,1632.08,1637.3181,1616.3656,WIN,3.0
ETHUSDT,SHORT,1590.64,1598.9619,1565.6742,LOSS,-1.0
ETHUSDT,LONG,1806.79,1795.9072,1839.4384,LOSS,-1.0
ETHUSDT,LONG,2088.9,2077.9644,2121.7069,LOSS,-1.0
ETHUSDT,LONG,3386.31,3353.9291,3483.4528,LOSS,-1.0
ETHUSDT,LONG,1597.76,1588.6864,1624.9807,WIN,3.0
ETHUSDT,LONG,2460.88,2431.1099,2550.1904,LOSS,-1.0
BNBUSDT,LONG,490.1,481.4943,515.9171,LOSS,-1.0
BNBUSDT,LONG,416.9,413.7343,426.3971,LOSS,-1.0
BNBUSDT,LONG,312.1,311.2221,314.7336,LOSS,-1.0
BNBUSDT,SHORT,309.7,311.6279,303.9164,LOSS,-1.0
BNBUSDT,LONG,307.2,305.2286,313.1143,LOSS,-1.0
BNBUSDT,SHORT,236.7,237.9357,232.9929,LOSS,-1.0
BNBUSDT,LONG,242.1,240.8564,245.8307,LOSS,-1.0
